TITLE,COMPANY_NAME,LOCATION,QUALIFICATIONS,SKILLS,JOBTYPE,,,,
Lead Electrical Design & Analysis Engineer,BOEING,"Bengaluru, Karnataka","[""Bachelor's degree in Electrical/Electronics/Electronics & Communication / Mechanical or higher"", ""acquired through advanced education (e.g. Bachelor) and typically 13 to 16 years' related work experience or an equivalent combination of education and experience (e.g. Master+12 years of related work experience etc."", '13 to 16 Years of major experience in Electrical wire harness design & development lifecycle']","['guidance and mentoring team', 'configuration management', 'Self-motivated', 'Electrical system architecture design', 'AC analysis', 'DC Analysis', 'ENOVIA VPM', 'Catia V5 tool', 'wiring design & harness design.', 'Electrical Wire harness Installation', 'wiring and harness design.', 'written, oral and interpersonal communication skills', 'English.']",,,,,
Experienced Propulsion Engineer,BOEING,"Bengaluru, Karnataka","[""advanced technical education from an accredited course of study in engineering (e.g. Bachelor) and typically 8-11 years of related work experience or an equivalent combination of technical education and experience (e.g. Master+7 years' related work experience)"", 'Bachelors in Mechanical/Aerospace engineering with 8-11 years of Experience.']","['written and verbal communication', 'Geometric Dimensioning and Tolerancing', 'design/analysis processes', 'interpersonal skills', 'multi-functional teaming', 'collaborative problem solving', 'problem-solving skills', 'CATIA', 'Model Based Definition', 'self-motivated', '3-D Computer Aided Design tools', 'Nacelle Structures']",,,,,
AI/ML Engineer - Intern,VDiSTiE,"Bengaluru, Karnataka",['Intern (3-6 months)'],"['CSS', 'jQuery.', 'Good interpersonal skills.', 'Understanding of SEO principles.', 'JavaScript', 'Understanding of key design principles.', 'creative thinking', 'problem-solving skills.', 'Understanding of server-side CSS.', 'HTML', 'verbal communication skills.']",,,,,
AI-ML Engineer,Siemens,"Bengaluru, Karnataka","['2-3 years of relevant experience in machine learning.', 'Bachelor’s or master’s degree in Statistics, Mathematics, Computer Science, or any other quantitative field.']","['Deep Learning algorithms.', 'Selection of right learning algorithm', 'Graph DB', 'querying databases', 'statistical techniques', 'exploratory analysis', 'computer vision', 'BI tools', 'Natural Language Processing.', 'Data Preparation', 'understanding of power and energy domain.', 'Exploratory analysis', 'Flask', 'Django', 'Conceptual understanding of Machine Learning', 'Numpy', 'hyper-parameter tuning', 'Web Frameworks', 'Pandas', 'Matplotlib.', 'cloud computing platforms', 'AWS Sagemaker.', 'Python.', 'FastAPI', 'Feature Engineering', 'SQL.']",,,,,
Associate Software Engineer - Full Stack,BOEING,"Bengaluru, Karnataka","[""5-8 years) Education/experience typically acquired through advanced education (e.g. Bachelor) and typically 5 or more years' related work experience or an equivalent combination of education and experience (e.g. Master +7 years' related work experience."", ""5 or more years' related work experience or an equivalent combination of education and experience (e.g. Master +7 years' related work experience.""]","['HTML 5', 'REST', 'Angular', 'Redux', 'JavaScript', 'Security Progressive Web App Development', 'Session and Exception Handler', 'Power BI', 'PWA concepts', 'CSS', 'Restful API’s', 'Java', 'Spring', 'JSON', 'Springboot', 'Angular coding', 'REST API', 'Async calls', 'XML.', 'MVC', 'bootstrap', 'Karma', 'Azure Cosmos DB Authentication', 'npm', 'Typescript', 'Angular 9 RDBMS', 'Sync', 'NodeJS', 'Certification in Azure cloud Certification on Power BI', 'SASS', 'JPA', 'PostgreSQL NoSQL', 'Jasmine', 'Angular Materials', 'indexDB']",,,,,
Lead Embedded Avionics Software Engineer,BOEING,"Bengaluru, Karnataka","[""Technical Bachelor's degree or Master degree"", ""12 years' related work experience or an equivalent combination of education and experience (e.g. Master + 11 years' related work experience.""]","['C/C++', 'RTOS', 'Flight Management Systems', 'writing and developing software', 'self-starter', 'Python.', 'Linux or Unix experience', 'programming knowledge', 'Flight Management Systems.', 'Real Time Operating System']",,,,,
AI / ML Engineer,Chiplogic Technologies,"Bengaluru, Karnataka","['degree in Computer Science, Mathematics or similar courses or fields']","['Train and retrain systems', 'Machine Leaning Jobs', 'interpersonal skills', 'Knowledge on basics of math and probability', 'Self motivated', 'Python', 'Good understanding and strong knowledge in algorithms and statistics', 'software architecture', 'C/C++', 'Developing deep learning systems', 'presentation skills', 'Designing machine learning programs', 'machine learning experiments and test', 'data modelling', 'Good communication skill', 'data structures.', 'communication', 'Creative problem solving', 'Good understanding on the fundamentals of Artificial Intelligence.']",,,,,
Intern,Vodafone,"Bengaluru, Karnataka",,"['AI', 'communication skills', 'Communication', 'Data Analytics', 'Data Modelling', 'AR', 'Data Visualisation', 'Deep and Machine Learning', 'Data Management']",,,,,
Ai Intern,AlphaICs,"Bengaluru, Karnataka",['Bachelor / Master degree in computer science or AI related field with excellent academic records'],"['Image recognition.', 'Github/ Kaggle profile', 'deep learning frameworks', 'AI edge inference', 'reinforcement learning.', 'good understanding of deep learning', 'CUDA or GPU computation', 'Object detection', 'advanced mathematical concepts', 'natural language processing', 'Tensorflow', 'documentation skills.', 'reinforcement learning', 'Artificial Intelligence', 'C/C++/Python.', 'Computer Vision', 'AI/Deep Learning', 'ICML', 'good academic record', 'Pytorch', 'communication', 'mathematical foundation and applied research experience in machine learning and deep learning']",,,,,
ML Intern,Crediwatch,"Bengaluru, Karnataka",,"['Machine Learning', 'Statistical Data Analysis', 'Python Framework', 'Keras', 'Problem solving skills', 'Deep Learning Architectures', 'SQL', 'Model Building', 'Benchmarking', 'C++', 'Matplotlib', 'Data Analysis', 'Dask', 'Coding Skills', 'Java', 'NLP Frameworks', 'Linux development environment', 'Tensorflow', 'Statistical analyze', 'Object Oriented Methodology', 'Model Tuning', 'R', 'NumPy', 'code versioning tools', 'OpenCV', 'Pandas', 'Computer Vision Skills', 'analytical skills', 'python', 'Scala']",,,,,
SDE Intern,Xeno Software,"Bengaluru, Karnataka","['a degree in Computer Science, Software Engineering, or a related field']","['accountable', 'Good communication', 'Strong understanding of data structures.', 'MySQL', 'interpersonal skills', 'MongoDB', 'Node.js', 'problem-solving skills', 'Java', 'Strong understanding of object-oriented programming concepts']",,,,,
Financial Analysis Intern,Discover Dollar,"Bengaluru, Karnataka","['BCom/BBA in bachelor’s degree Candidate should have 0 – 2 years of experience', 'Experience 0-1 year', 'master’s degree.']","['verbal and writing communication', 'strong in analytical skills']",,,,,
Intern - Airframe - M&P,Airbus,"Bengaluru, Karnataka",,"['machine learning', 'Interpersonal skills.', 'deep learning techniques', 'Material Engineering background', 'Python programming']",,,,,
Information Security Analyst Intern,Discover Dollar,"Bengaluru, Karnataka","[""Bachelor's or Master’s degree in IT/ Computer Science  Work Experience 0-1 year"", 'Minimum experience of zero to one year in information security domain', ""Bachelor's or Master’s degree in a related field""]","['organizing skills', 'planning', 'communication skills', 'information systems', 'self-motivated', 'Good team player']",,,,,
Research Intern,EY,"Bengaluru, Karnataka",,"['AI', 'interpersonal skills', 'IoT', 'collaborative management style', 'PowerPoint', 'computer skills']",,,,,
APPLIED ML INTERN,Third-AI,"Bengaluru, Karnataka",,"['logically minded', 'Multi-Tasking ability', 'Power Point Interpersonal and people management skill', 'MS-Excel', 'Highly motivated', 'MS-Word', 'highly organized']",,,,,
Artificial Intelligence Intern,Fresko Innovation Labs,"Bengaluru, Karnataka","['third or fourth-year students from one of computer science, AI or Masters in these areas.', 'Third or fourth year students from one of computer science, information science or Masters in these areas.', 'Experience - 0-6 months Training cum internship Internship duration - 3-6 months Internship types - Full time ,Unpaid ,Remote Joining']",['Machine Learning Learning Deep Learning Computer vision Segmentation Instance Segmentation Image Preprocessing Time Series.'],,,,,
Computer Vision Engineer (Intern),Stylumia Intelligence Technology,"Bengaluru, Karnataka","['A Bachelor’s/Master’s degree in Computer Science, Information Technology, Electrical Engineering, Statistics, or related field.']","['Generative Learning', 'problem-solving skills', 'deep learning frameworks', 'Pytorch/Tensorflow.', 'computer vision', 'machine learning', 'Data Science', 'Self-Supervised and Semi-Supervised learning.', 'Segmentation', 'deep learning algorithms.', 'Feature Extraction/Representation Learning', 'Neural network workload analysis', 'GANs', 'data science minds', 'computer vision technology', 'Natural Language Processing', 'ownership capabilities', 'Computer Vision', 'Visual Recognition', 'Python.', 'SOTA models', 'deep learning concepts']",,,,,
AI Software Engineer,AlphaICs,"Bengaluru, Karnataka",['Bachelor / Master degree in computer science or AI related field with excellent academic records'],"['Image recognition.', 'Github/ Kaggle profile', 'deep learning frameworks', 'Solid understanding', 'reinforcement learning.', 'good understanding of deep learning', 'CUDA or GPU computation', 'Object detection', 'advanced mathematical concepts', 'natural language processing', 'Tensorflow', 'communication and documentation skills', 'AI/Deep Learning Research', 'reinforcement learning', 'Artificial Intelligence', 'hands on experience with C/C++/Python.', 'Computer Vision', 'good academic record', 'Pytorch', 'mathematical foundation and applied research experience in machine learning and deep learning']",,,,,
Software - Intern,MergerWare,"Bengaluru, Karnataka","[""final year in college or university graduate/Master's program Experience and understanding of Enterprise software development, B2B SaaS Software, quality and DevOps operations Team player.""]","['NoSQL', 'Meteor JS', 'javascript frameworks', 'Self-motivated', 'DOM manipulation', 'EcmaScript Experience', 'MongoDB', 'software architecture', 'JavaScript object model', 'Push Notification', 'Node JS', 'RESTful APIs', 'JavaScript', 'JSON Web Token', 'authorization mechanisms', 'Automate unit and integration tests using low and high-level automation technologies', 'data structure']",['Full time'],,,,
Engineering Manager,Sourcewiz,"Bengaluru, Karnataka",,['communication skills'],"['Full-time, Regular / Permanent Salary']",,,,
Data Analyst - SQL & Python,CHSI,"Bengaluru, Karnataka",['2-4+ years experience in a technical analytics environment'],"['foundational analytics', 'technical analytics', 'statistics', 'data management tools', 'SQL', 'Coding and modelling', 'Python', 'Data Analysis', 'data analytics', 'analytics', 'visualization', 'PowerPoint presentations', 'big data platforms', 'insights generation', 'data exploration', 'mathematics', 'R', 'method selection', 'data preparation', 'data quality assessment', 'data analysis', 'data manipulation']",,,,,
"Associate Staff Engineer, Data Analytics",Nagarro,"Bengaluru, Karnataka",,,,,,,
Experienced Software Engineer -Data,BOEING,"Bengaluru, Karnataka","['(8-12 years)', ""8 to 12 years' related work experience or an equivalent combination of education and experience (e.g. Master 7 to 11 years' related work experience.""]","['Interpret and analyze data problems', 'streamline and optimize databases', 'Test-driven development', 'ETL queries.', 'Tensor flow Machine Learning', 'SQL', 'strong analytical and creative problem solving skills', 'defining algorithms', 'Power BI', 'database design', 'Tablaeu, Languages', 'pattern detection analysis', 'Python', 'Pair Programming', 'BI/Visualization Tools', 'Time series', 'optimization algorithms', 'Oracle', 'positive attitude', 'best fit methods', 'Data modeling', 'data modeling', 'predictive/prescriptive analytic', 'Agile Scrum', 'Azure Cloud', 'presentation skills', 'data mining', 'SQL statements', 'Knowledge of Java', 'R', 'R/Phython Deep Learning', 'high ethics', 'T-SQL', 'communication']",,,,,
